movie_name,movie_rating,movie_release,movie_duration,movie_desc
The Shawshank Redemption,9.3,31-03-2021,142,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather,9.2,24-03-1972,175,"The Godfather follows Vito Corleone, Don of the Corleone family, as he passes the mantle to his unwilling son, Michael."
The Godfather: Part II,9,18-12-1974,202,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
The Dark Knight,9,17-07-2008,152,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
12 Angry Men,9,10-04-1957,96,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
Schindler&apos;s List,8.9,04-02-1994,195,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
The Lord of the Rings: The Return of the King,8.9,18-12-2003,201,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Pulp Fiction,8.9,14-10-1994,154,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
"Il buono, il brutto, il cattivo",8.8,23-12-1966,161,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
The Lord of the Rings: The Fellowship of the Ring,8.8,20-12-2001,178,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Fight Club,8.8,04-11-1999,139,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Forrest Gump,8.8,30-11-2018,142,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweeth"
Inception,8.8,15-07-2010,148,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
The Lord of the Rings: The Two Towers,8.7,19-12-2002,179,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard."
Star Wars: Episode V - The Empire Strikes Back,8.7,08-08-1980,124,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
The Matrix,8.7,22-04-1999,136,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
